№;Имя файла;Текст вопроса;Текст ответа
;Природа041;Сколько домов изображено на картинке;1
;Природа042;Сколько хоботков у комара изображено на картинке;1
;Природа043;Сколько цветов в окрасе крыльев бабочки;3
;Природа044;Сколько васильков изображено на картинке;0
;Природа045;Сколько горбов у верблюда изображено н картинке;1
;Природа046;Сколько мышей изображено н картинке;0
;Природа047;Сколько елочных веток изображено н картинке;0
;Природа048;Сколько кругов на заборе изображено н картинке;2
;Природа049;Сколько подушечек на лапе видно на картинке;3
;Природа050;Сколько серо-белых котов изображено на картинке;1
;Природа051;Сколько когтей на левой лапе видно на картинке;4
;Природа052;Сколько жующих осликов изображено на картинке;2
;Природа053;Сколько фламинго изображено на картинке;2
;Природа054;Сколько чаек изображено на картинке;11
;Природа055;Сколько цветов в окрасе козлика;2
;Природа056;Сколько мячиков у собаки изображено на картинке;0
;Природа057;Сколько утят изображено на картинке;5
;Природа058;Сколько гусей изображено на картинке;7
;Природа059;Сколько приматов изображено на картинке;2
;Природа060;Сколько лошадей изображено на картинке;2
;Природа061;Сколько седел на лошадях изображено на картинке;0
;Природа062;Сколько черных пятен изображено на левом крыле божьей коровки;8
;Природа063;Сколько пятен у тигра изображено на картинке;0
;Природа064;Сколько орхидей изображено на картинке;0
;Природа065;Сколько сурков изображено на картинке;2
;Природа066;Сколько веток облепихи изображено на картинке;0
;Природа067;Сколько птиц изображено на картинке;1
;Природа068;Сколько раз встречается голубой цвет глаз на картинке;2
;Природа069;Сколько голубей на дереве изображено на картинке;0
;Природа070;Сколько палочек держит в лапах панда;3
;Природа071;Сколько попугаев ест орехи;0
;Природа072;Сколько листьев изображено на картинке;0
;Природа073;Сколько чаек смотрит вправо;0
;Природа074;Сколько баранов изображено на картинке;2
;Природа075;Сколько насекомых изображено на картинке;2
;Природа076;Сколько рыб плавает рядом со свиньей;2
;Природа077;Сколько зайцев сидит на лавке;0
;Природа078;Сколько нераскрывшихся бутонов изображено на картинке;5
;Природа079;Сколько верблюдов изображено на картинке;0
;Природа080;Сколько гротов изображено на картинке;1
;Природа081;Сколько валунов изображено на картинке;1
;Природа082;Сколько наводного транспорта изображено на картинке;3
;Природа083;Сколько ступенек на лестнице изображено на картинке;8
;Природа084;Сколько рек изображено на картинке;1
;Природа085;Сколько раскрывшихся крокусов изображено на картинке;6
;Природа086;Сколько нарциссов изображено на картинке;0
;Природа087;Сколько солнечных лучей изображено на картинке;6
;Природа088;Сколько листьев дуба изображено на картинке;2
;Природа089;Сколько листьев клена видно на картинке;0
;Природа090;Сколько лодок изображено на картинке;0
;Природа091;Сколько людей изображено на картинке;2
;Природа092;Сколько домов изображено на картинке;6
;Природа093;Сколько видов цветов изображено на картинке;1
;Природа094;Сколько орлов изображено на картинке;0
;Природа095;Сколько грибов изображено на картинке;6
;Природа096;Сколько бутонов шиповника изображено на картинке;3
;Природа097;Сколько гор изображено на картинке;2
;Природа098;Сколько насекомых изображено на картинке;1
;Природа099;Сколько гвоздик изображено на картинке;0
;Природа100;Сколько водопадов изображено на картинке;1
;Природа101;Сколько съедобных грибов изображено на картинке;0
;Природа102;Сколько розовых цветов изображено на картинке;0
;Природа103;Сколько листьев изображено на картинке;3
;Природа104;Сколько оранжевых конусообразных буйков изображено на картинке;3
;Природа105;Сколько бегемотов изображено на картинке;2
;Природа106;Сколько достопримечательностей Японии изображено на картинке;0
;Природа107;Сколько букв в названии велосипеда;3
;Природа108;Сколько пеликанов изображено на картинке;5
;Природа109;Сколько альпинистов изображено на картинке;0
;Природа110;Сколько полных ракушек изображено на картинке;2
;Природа111;Сколько овец изображено на картинке;2
;Природа112;Сколько пляжей изображено на картинке;1
;Природа113;Сколько змей изображено на картинке;0
;Природа114;Сколько иголок на дереве изображено на картинке;0
;Природа115;Сколько яблок изображено на картинке;1
;Природа116;Сколько воробьев изображено на картинке;3
;Природа117;Сколько соцветий изображено на картинке;3
;Природа118;Сколько берез стоит рядом с домом;1
;Природа119;Сколько людей изображено на картинке;2
;Природа120;Сколько соцветий в горшке изображен на картинке;9
;;;
;;;
;;;
;Город001;Сколько людей в синем изображено на картинке;4
;Город002;Сколько видно людей на верхней башке крепости;6
;Город003;Сколько дверей при входе в мавзолей;0
;Город004;Сколько ?собачек? на рюкзаке молодого человека;4
;Город005;Сколько шпилей изображено на картинке;3
;Город006;Сколько знаков ?стоп изображено на картинке;2
;Город007;Сколько пешеходных переходов изображено на картинке;3
;Город008;Сколько небоскребов на побережье Германии изображено на картинке;0
;Город009;Сколько горящих окон в здании справа видно на картинке;8
;Город010;Сколько табличек на указателе изображено на картинке;4
;Город011;Сколько букв в названии на колесе обозрения;7
;Город012;Сколько в сумме дают все цифры, изображенные на картинке;10
;Город013;Сколько пароходов изображено на картинке;1
;Город014;Сколько флагов изображено на картинке;2
;Город015;Сколько детей изображено на картинке;1
;Город016;Сколько фигур образуют площадь Рима;8
;Город017;Сколько фонтанов изображено на картинке;1
;Город018;Сколько небоскребов изображено на картинке;5
;Город019;Сколько туристов изображено на картинке;0
;Город020;Сколько конусообразных кустов изображено на картинке;5
;Город021;Сколько букв в название премьеры театра;11
;Город022;Сколько букв в названии улицы;6
;Город023;Сколько надписей на мосту изображено на картинке;0
;Город024;Сколько занавесок изображено на картинке;8
;Город025;Сколько горгулий изображено на картинке;0
;Город026;Какое число получается при сложении 3-х последних цифр номера телефона на ?танцующем доме?;8
;Город027;Сколько небоскребов с вертолётной площадкой изображено на картинке;0
;Город028;Сколько лестниц видно на картинке;4
;Город029;Сколько рыбаков изображено на картинке;0
;Город030;Какое ограничение скорости на улице, изображенной на картинке;30
;Город031;Сколько окон в синем доме;6
;Город032;Сколько домов слева до первого перекрестка;6
;Город033;Сколько шарообразных конструкций изображено на картинке;5
;Город034;Сколько фонарей видно на картинке;9
;Город035;Сколько указателей изображено на картинке;4
;Город036;Сколько скульптур птиц изображено на картинке;0
;Город037;Сколько струй вытекает из верхней части фонтана;3
;Город038;Сколько окон изображено на картинке;6
;Город039;Сколько красных зонтиков изображено на картинке;6
;Город040;Сколько люков изображено на картинке;1
;Город041;Сколько полос движения изображено на картинке;2
;Город042;Сколько автобусов изображено на картинке;1
;Город043;Сколько красных лодок изображено на картинке;1
;Город044;Сколько мостов изображено на картинке;2
;Город045;Сколько желтых тентов/навесов изображено на картинке;8
;Город046;Сколько минут после 15 часов изображено на картинке;25
;Город047;Сколько куполов видно на картинке;4
;Город048;Сколько уток плавает в водоеме;0
;Город049;Сколько пролетов моста видно на картинке;10
;Город050;Сколько долларов стоит букеты с герберами;25
;Город051;Сколько машин изображено на картинке;0
;Город052;Сколько целых якорей видно на картинке;3
;Город053;Какой номер дома изображен на картинке;15
;Город054;Сколько красных машин изображено на картинке;1
;Город055;Какой номер первого дома справа;83
;Город056;Сколько букв ?А? в названии страны, в которой было сделано фото;2
;Город057;Сколько окон на втором этаже видно на картинке;7
;Город058;Сколько воздушных шаров изображено на картинке;0
;Город059;Сколько пальм изображено на картинке;3
;Город060;Номер дома посередине наоборот;4172
;Город061;Сколько мотоциклистов изображено на картинке;0
;Город062;Какая вторая цифра номера дома с кондиционером;3
;Город063;Сколько перекрестков справа видно на картинке;2
;Город064;Сколько поездов изображено на картинке;3
;Город065;Сколько лебедей изображено на картинке;7
;Город066;Сколько наклеек на стене изображено на картинке;1
;Город067;Сколько вратарей изображено на картинке;1
;Город068;Сколько окон с решетками изображено на картинке;7
;Город069;Сколько людей целуются на картинке;2
;Город070;Сумма цифр с вывески, изображенной на картинке;12
;Город071;Сколько блюд ресторана перечислено на уличной доске;5
;Город072;Сколько латинских букв в названии салона красоты;7
;Город073;Сколько стульев изображено на картинке;7
;Город074;Сколько мечетей Венгрии изображено на картинке;0
;Город075;Сколько самолетов изображено на картинке;0
;Город076;Сколько башен кремля видно на картинке;4
;Город077;Сумма столбов слева и ступенек;8
;Город078;Сколько аистов изображено на картинке;1
;Город079;Сколько балконов изображено на картинке;11
;Город080;Сколько аттракционов видно на картинке;1
;Город081;Сколько подъемных кранов изображено на картинке;2
;Город082;Сумма всех цифр с номера синей машины;22
;Город083;Сколько дорог видно на картинке;0
;Город084;Сколько кирпичных и каменных труб изображено на картинке;10
;Город085;Сколько круглых элементов на фасаде желтого дома;6
;Город086;Сколько людей сидит на фонтане;3
;Город087;Сколько прутьев на решетке снизу;8
;Город088;Сколько церквей видно на картинке;1
;Город089;Количество лавок и фонарей, изображённых на картинке;14
;Город090;Сколько красных машин изображено на картинке;1
;Город091;Сколько котов на пирсе изображено на картинке;0
;Город092;Сколько дорожных знаков изображено на картинке;0
;Город093;Сколько людей изображено на картинке;4
;Город094;Сколько растений в окне изображено на картинке;5
;Город095;Сколько часов изображено на картинке;1
;Город096;Сколько деревьев дуба изображено на картинке;0
;Город097;Сколько уличных плафонов изображено на картинке;22
;Город098;Сколько стульев изображено на картинке;4
;Город099;Сколько колон на нижнем балконе;3
;Город100;Сколько теней от уличных цветочных горшков видно на картинке;7
;Город101;Сколько этажей в левой части здания;3
;Город102;Сколько овец изображено на картинке;0
;Город103;Сколько водосточных труб видно на картинке;4
;Город104;Сколько домов изображено на картинке;4
;Город105;Дата начала строительства дома;1906
;Город106;Сколько зеленых створок изображено на картинке;5
;Город107;Сколько статуй на крыше дома изображено на картинке;0
;Город108;Сколько раз встречается желтый цвет на картинке;2
;Город109;Сколько баров изображено на картинке;1
;Город110;Сколько спасательных кругов изображено на картинке;2
;Город111;Сколько входов в здания изображено на картинке;3
;Город112;Сколько елей изображено на картинке;0
;Город113;Сколько зеленых вещей вывешено на балкон;2
;Город114;Сколько мостов видно на картинке;4
;Город115;Сколько деревянных дверей ведущих в дом изображено на картинке;1
;Город116;Сколько туй в кругах изображено на картинке;6
;Город117;Сколько урн изображено на картинке;2
;Город118;Сколько цветов на балконе изображено на картинке;0
;Город119;Сколько людей в окне изображено на картинке;0
;Город120;Сколько маленьких лодок изображено на картинке;1
;;;
;;;
;Транспорт001;Сколько велосипедов изображено на картинке;7
;Транспорт002;Сумма цифр на хвосте самолета;23
;Транспорт003;Сколько сидячих мест на лавке изображено на картинке;4
;Транспорт004;Сколько колес изображено на картинке;0
;Транспорт005;Сколько пассажирских квадратных окон в первом вагоне изображено на картинке;15
;Транспорт006;Сколько веток лежит в корзине велосипеда;0
;Транспорт007;Сколько пассажирских иллюминаторов изображено на картинке;5
;Транспорт008;Сколько иллюминаторов на верхнем этаже;21
;Транспорт009;Сколько разноцветных сдутых воздушных шаров видно на картинке;1
;Транспорт010;Сколько цветов на воздушном шаре;7
;Транспорт011;Сколько ручек на велосипеде изображено на картинке;4
;Транспорт012;Максимальная скорость на спидометре;160
;Транспорт013;Сколько флагов на гидроплане изображено на картинке;0
;Транспорт014;Сколько букв в названии дирижабля изображено на картинке;8
;Транспорт015;Сколько рыб в рыбачьей лодке видно на картинке;0
;Транспорт016;Сколько катеров изображено на картинке;5
;Транспорт017;Сколько фар у шевроле изображено на картинке;0
;Транспорт018;Сколько зеркал изображено на картинке;4
;Транспорт019;Сколько кресел в маршрутном такси;0
;Транспорт020;Сумма всех цифр, изображенных на картинке;11
;Транспорт021;Сколько букв в названии машины;5
;Транспорт022;Сколько синих машин изображено на картинке;2
;Транспорт023;Сколько эскалаторов изображено на картинке;4
;Транспорт024;Количество единиц, изображенных на картинке;2
;Транспорт025;Сколько бордовых корзин изображено на картинке;2
;Транспорт026;Сколько фуникулеров находится в движении;2
;Транспорт027;Сколько входов в фуникулер, изображенном на картинке;3
;Транспорт028;Сколько шор изображено на картинке;2
;Транспорт029;Сколько колес на шасси самолёта изображено на картинке;6
;Транспорт030;Сколько лыжников изображено на картинке;3
;Транспорт031;Сколько букв на поезде изображено на картинке;8
;Транспорт032;Сколько людей в вагоне поезда изображено на картинке;0
;Транспорт033;Сколько ламп на крыше изображено на картинке;3
;Транспорт034;Сколько ножек для опоры мопеда изображено на картинке;1
;Транспорт035;Сколько гаек изображено на картинке;10
;Транспорт036;Сколько пассажиров автомобиля видно на картинке;0
;Транспорт037;Сколько фар видно на картинке;6
;Транспорт038;Сколько рыболовных сетей видно на лодке;0
;Транспорт039;Четвертая и третья цифры, указанный на парусе;87
;Транспорт040;Сколько людей в лодке изображено на картинке;0
;Транспорт041;Сколько раз встречается цифра 8 на картинке;3
;Транспорт042;Сколько эмблем ?вольво? изображено на картинке;0
;Транспорт043;Сколько вертолетов изображено на картинке;0
;Транспорт044;Сколько указателей рядом с тележкой изображено на картинке;5
;Транспорт045;Сколько раз знак ?фольксавген? изображен на картинке;2
;Транспорт046;Сколько раз взлётная полоса видна на картинке;2
;Транспорт047;Сколько желтых машин пересекают перекресток;3
;Транспорт048;Сумма цифр черного цвета на тракторе, изображённом на картинке;11
;Транспорт049;Сколько колес видно на изображении;1
;Транспорт050;Сколько дворников изображено на картинке;1
;Транспорт051;Сколько букв в марке машины;7
;Транспорт052;Сколько окон на передней яхте изображено на картинке;10
;Транспорт053;Сколько тюков сена удерживает трактор, изображенный на картинке;2
;Транспорт054;Какие цифры изображены на мотоцикле;69
;Транспорт055;Сколько велосипедов изображено на картинке;1
;Транспорт056;Сколько машин изображено на картинке;4
;Транспорт057;Какие цифры указаны на первом вагоне;47
;Транспорт058;Сколько спиц на большом колесе изображено на картинке;16
;Транспорт059;Сколько цветов в надписях на вертолете, изображенном на картинке;2
;Транспорт060;Сколько катамаранов изображено на картинке;5
;Транспорт061;Сколько раз буква ?a? видна на картинке;4
;Транспорт062;Сколько флагов изображено на картинке;1
;Транспорт063;Сколько парусов изображено на картинке;4
;Транспорт064;Сколько ступенек справа от эскалатора изображено на картинке;24
;Транспорт065;Сколько надписей на карете видно на картинке;0
;Транспорт066;Сколько тракторов изображено на картинке;1
;Транспорт067;Сколько этажей в поезде, изображенном на картинке;2
;Транспорт068;Сколько такси изображено на картинке;2
;Транспорт069;Сколько пассажирских вагонов изображено на картинке;1
;Транспорт070;Сколько разных автомобильных номеров видно  на картинке;2
;Транспорт071;Сколько раз розовый цвет встречается на велосипеде;0
;Транспорт072;Сколько ступенек на лестнице, расположенной на поезде;5
;Транспорт073;Сколько всего зеркал видно на картинке;5
;Транспорт074;Сколько колес на тачке изображено на картинке;1
;Транспорт075;Сколько стрелок видно на картинке;6
;Транспорт076;Сколько надписей изображено на картинке;1
;Транспорт077;Сколько пар рельс изображено на картинке;3
;Транспорт078;Сколько букв в надписи на тележке изображено на картинке;4
;Транспорт079;Сколько фар на тракторе видно на картинке;2
;Транспорт080;Сколько лопастей на пропеллере самолета изображено на картинке;2
;Транспорт081;Сколько пилотов за штурвалом самолета изображено на картинке;2
;Транспорт082;Сколько башенных кранов изображено на картинке;1
;Транспорт083; Сколько наклеек на лобовом стекле изображено на картинке;2
;Транспорт084;Сколько кабриолетов изображено на картинке;0
;Транспорт085;Сколько антенн изображено на картинке;1
;Транспорт086;Сколько лестниц изображено на картинке;2
;Транспорт087;Сколько пассажиров с багажом заходит в поезд;0
;Транспорт088;Сколько букв в названии модели автомобиля;6
;Транспорт089;Сумма цифр номерного знака;24
;Транспорт090;Сколько фар видно на картинке;4
;Транспорт091;Сколько номерных знаков изображено на картинке;0
;Транспорт092;Сколько вагонов изображено на картинке;6
;Транспорт093;Сколько ступенек трамвая изображено на картинке;3
;Транспорт094;Сколько посторонних вещей на велосипеде;2
;Транспорт095;Сколько колес изображено на картинке;5
;Транспорт096;Сколько путей сообщения изображено на картинке;2
;Транспорт097;Какой номер изображен ан гоночной машине;95
;Транспорт098;Номер опережающей машины, изображенной на картинке;3
;Транспорт099;Сколько флажков на машине изображено на картинке;1
;Транспорт100;Сколько трамваев изображено на картинке;0
;Транспорт101;Сколько знаков изображено на картинке;2
;Транспорт102;Сколько лавок изображено на картинке;1
;Транспорт103;Сколько заброшенных машин изображено на картинке;6
;Транспорт104;Сколько черных машин видно на картинке;1
;Транспорт105;Сколько поездов изображено на картинке;2
;Транспорт106;Сколько букв в названии страны, название которой изображено на корабле;8
;Транспорт107;Сколько слов на указателе;3
;Транспорт108;Номер дома минус количество велосипедов;104
;Транспорт109;Сколько эмблем на машине видно на картинке;0
;Транспорт110;Сколько кубиков изображено на картинке;2
;Транспорт111;Сколько труб на паровозике изображено на картинке;3
;Транспорт112;Сумма цифр н тратуаре;9
;Транспорт113;Сколько педалей тормоза указано на картинке;0
;Транспорт114;Цифры, указанные на табличке между путями;45
;Транспорт115;Сколько граффити голубого цвета изображено на картинке;1
;Транспорт116;Какой номер поезда изображен на картинке;73
;Транспорт117;Сколько рекламных буклетов изображено на картинке;0
;Транспорт118;Сколько прутьев внутри руля изображено на картинке;12
;Транспорт119;Сколько раз встречается цифра 6 на картинке;4
;Транспорт120;Номер гоночного болида;2
;;;
;;;
;;;
;Искусство001;Сколько скульптур составляют композицию, изображенную на картинке;3
;Искусство002;Из скольки частей состоит скульптура, изображающая кораблекрушение;2
;Искусство003;Сколько струй фонтана изображено на картинке;4
;Искусство004;Сколько ангелов изображено на картинке;1
;Искусство005;Сколько тритонов изображено на картинке;2
;Искусство006;Сколько человеческих фигур видно на церкви;3
;Искусство007;Сколько статуй в архитектуре Лувра видно на картинке;6
;Искусство008;Сколько президентов изображено на мемориале Горы Рашмор;4
;Искусство009;Сколько пьяниц изображено на картинке;9
;Искусство010;Сколько пушек на башне изображено на картинке;0
;Искусство011;Сколько танцующих изображено на картинке;2
;Искусство012;Сколько слонов в композиции изображено на картинке;3
;Искусство013;Сколько вывесок изображено на картине;1
;Искусство014;Сколько фруктов держит ангел;0
;Искусство015;Сколько книг изображено на картине;3
;Искусство016;Сколько женщин изображено на картинке;1
;Искусство017;Сколько ступенек на лестнице изображено на картинке;4
;Искусство018;Сколько цветов в одеянии Будды;1
;Искусство019;Сколько скульптур изображено на картинке;4
;Искусство020;Сколько женщин изображено на картине;2
;Искусство021;Сколько ваз изображено на картине;3
;Искусство022;Сколько урн изображено на картинке;0
;Искусство023;Сколько детей изображено на картинке;4
;Искусство024;Сколько кукол в кукольном театре изображено на картинке;4
;Искусство025;Сколько драконов изображено на картинке;1
;Искусство026;Сколько стоячих Будд изображено на картинке;0
;Искусство027;Сколько перьев изображено на картинке;2
;Искусство028;Сколько окон изображено с на картинке;4
;Искусство029;Сколько раз изображен дракон на картинке;2
;Искусство030;Сколько куполов видно на картинке;2
;Искусство031;Сколько стрекоз на скульптуре изображено на картинке;1
;Искусство032;Сколько животных изображено на скульптуре;0
;Искусство033;Сколько колонн изображено на картинке;2
;Искусство034;Сколько людей изображено на граффити;3
;Искусство035;Сколько драконов в воде изображено на картинке;0
;Искусство036;Сколько разноцветных граффити изображено на картинке;1
;Искусство037;Сколько крестов изображено на картинке;1
;Искусство038;Сколько животных в скульптуре изображено на картинке;1
;Искусство039;Сколько ангелов поддерживают колонну;7
;Искусство040;Сколько арок встречается в картинке Рафаэля;4
;Искусство041;Сколько окон изображено на картинке;1
;Искусство042;Сколько предметов держит Моисей;1
;Искусство043;Сколько львов и львиц изображено на картинке;4
;Искусство044;Сколько колокольчиков изображено на картинке;1
;Искусство045;Сколько чаек изображено на картинке;3
;Искусство046;Сколько фресок на крыше музей изображено на картинке;0
;Искусство047;Сколько собак и зайцев изображено на картинке;3
;Искусство048;Сколько шляп изображено на картинке;2
;Искусство049;Сколько украшений на теле принцессы изображено на картине;4
;Искусство050;Сколько ярусов балкона имеет театр;6
;Искусство051;Сколько струн на гитаре изображено на картинке;6
;Искусство052;Сколько сосудов изображено на картинке;1
;Искусство053;Сколько цветов в одежде ребенка на граффити изображено на картинке;2
;Искусство054;Сколько ваз и горящих свечек изображено на картинке;8
;Искусство055;Сколько рыбок изображено на граффити;1
;Искусство056;Сколько раз встречаются рожицы с зубами на граффити;9
;Искусство057;Сколько черных клавиш на синтезаторе изображено на картинке;0
;Искусство058;Сколько минут на часах библиотеки;44
;Искусство059;Сколько гербов изображено на картинке;1
;Искусство060;Сколько птиц видно на картинке;4
;Искусство061;Сколько зубцов на короне изображено на картинке;7
;Искусство062;Сколько скульптур изображено на картинке;9
;Искусство063;Сколько корон изображено на картинке;0
;Искусство064;Сколько рамок видно на картинке;16
;Искусство065;Сколько музыкальных инструментов изображено на картинке;1
;Искусство066;Сколько крыш изображено на картинке;4
;Искусство067;Сколько людей изображено на картине;11
;Искусство068;Сколько голубей изображено на мозаике;2
;Искусство069;Сколько рыцарей изображено на картинке;2
;Искусство070;Сколько лавок стоит в музее напротив картин;2
;Искусство071;Сколько лошадей изображено на картинке;3
;Искусство072;Сколько детей держит Мадонна;1
;Искусство073;Сколько кирпичей понадобилось для изображения правой передней лапы;5
;Искусство074;Сколько букв ?s? изображено на картинке;2
;Искусство075;Сколько мечей изображено на мозаике;1
;Искусство076;Сколько корон изображено на картинке;4
;Искусство077;Сколько флагов на здании музея изображено на картинке;4
;Искусство078;Сколько пар ног изображено на картинке;3
;Искусство079;Сколько колоколов изображено на картинке;2
;Искусство080;Сколько мышей изображено на картинке;1
;Искусство081;Сколько застеленных балконов видно на картинке;2
;Искусство082;Сколько окон на замке видно на картинке;3
;Искусство083;Сколько этажей Кембриджа изображено на картинке;2
;Искусство084;Сколько животных изображено на картинке;6
;Искусство085;Сколько вертикальных светильников изображено на картинке;4
;Искусство086;Сколько яиц на стене музея видно на картинке;5
;Искусство087;Сколько окон второго этажа изображено на картинке;12
;Искусство088;Сколько уличных фонарей изображено на граффити;10
;Искусство089;Сколько фигур изображено на картинке;3
;Искусство090;Сколько фресок видно на картинке;5
;Искусство091;Сколько розовых снеговиков изображено на картинке;3
;Искусство092;Сколько портретов на доспехах изображено на картинке;2
;Искусство093;Сколько лиц изображено на картинке;1
;Искусство094;Сколько ступенек изображено на картинке;3
;Искусство095;Сколько табличек изображено на картинке;1
;Искусство096;Сколько деревянных перекрытий видно на картинке;0
;Искусство097;Сколько ступенек изображено на картинке;22
;Искусство098;Сколько узоров на крыле ангела;10
;Искусство099;Сколько арок из ?зеленой стены? изображено на картинке;3
;Искусство100;Сколько каменных фигур изображено на картинке;2
;Искусство101;Сколько кувшинов замуровано в стену;3
;Искусство102;Сколько гербов изображено на картинке;31
;Искусство103;Сколько разведенных мостов изображено на картинке;1
;Искусство104;Сколько фигур острова Пасхи изображено на картинке;15
;Искусство105;Сколько рук изображено на картинке;2
;Искусство106;Сколько столиков изображено на картинке;5
;Искусство107;Сколько африканок изображено на картинке;2
;Искусство108;Сколько детей изображено на картине;6
;Искусство109;Сколько яблок изображено на картинке;0
;Искусство110;Сколько голов у дракона изображено на картинке;6
;Искусство111;Сколько колес изображено на картинке;4
;Искусство112;Сколько окон во французском особняке;0
;Искусство113;Сколько художников изображено на картинке;1
;Искусство114;Сколько ножек у стола изображено на картинке;8
;Искусство115;Сколько птиц изображено на картине;7
;Искусство116;Сколько рисунков на гитаре изображено на картинке;0
;Искусство117;Сколько красок изображено на картинке;0
;Искусство118;Сколько скульптур Германии изображено на картинке;0
;Искусство119;Сколько окон изображено на картинке;2
;Искусство120;Сколько женщин изображено на картинке;4
;;;
;;;
;Турнир001;Сколько спущенных якорей изображено на картинке;1
;Турнир002;Сколько прутьев слева направо до столба изображено на картинке;20
;Турнир003;Какой угол образовывает клюв чайки к плоскости земли;180
;Турнир004;Сколько открытых окон и форточек видно на картинке;39
;Турнир005;Сколько разных сюжетов изображено на картинке;2
;Турнир006;Сколько паутинок изображено на картинке;1
;Турнир007;Сколько листьев изображено на картинке;2
;Турнир008;Сколько голубей изображено на картинке;0
;Турнир009;Сколько шмелей изображено на картинке;0
;Турнир010;Сколько самок животного изображено на картинке;0
;Турнир011;Сколько шагов сделала чайка каждой лапой;2
;Турнир012;Сколько стволов маленьких сосен видно на картинке;2
;Турнир013;Сколько рыбачьих стульев изображено на картинке;2
;Турнир014;Сколько фонарей изображено на картинке;24
;Турнир015;Сколько букв ?P? изображено на картинке;2
;Турнир016;Сколько вертикальных линий образуют цветы;11
;Турнир017;Сколько фигур ?u? и ?v? можно увидеть на картинке;8
;Туринир018;Сколько столбов видно на картинке вдоль прерывистой линии;3
;Туринир019;Сколько лавок стоит на побережье севера изображенного на картинке;0
